1,SIGLA,NOME,DEFERIMENTO,PRES. NACIONAL,Nº DA LEGENDA,ESPECTRO_POLITICO
8,AGIR,AGIR,22.2.1990,DANIEL S. TOURINHO,36,direita
13,AVANTE,AVANTE,11.10.1994,LUIS HENRIQUE DE OLIVEIRA RESENDE,70,centro
11,CIDADANIA,CIDADANIA,19.3.1992,ROBERTO JOÃO PEREIRA FREIRE,23,esquerda
18,DC,DEMOCRACIA CRISTÃ,5.8.1997,JOSÉ MARIA EYMAEL,27,direita
1,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,30.6.1981,LUIZ FELIPE BALEIA TENUTO ROSSI,15,centro
28,NOVO,PARTIDO NOVO,15.9.2015,EDUARDO RODRIGO FERNANDES RIBEIRO,30,direita
25,PATRIOTA,PATRIOTA,19.6.2012,"OVASCO ROMA ALTIMARI RESENDE, Vice-presidente no exercício da presidência (PET 0600319-75.2021.6.00.0000)",51,direita
16,PCB,PARTIDO COMUNISTA BRASILEIRO,9.5.1996,EDMILSON SILVA COSTA*,21,esquerda
5,PCdoB,PARTIDO COMUNISTA DO BRASIL,23.6.1988,LUCIANA BARBOSA DE OLIVEIRA SANTOS,65,esquerda
19,PCO,PARTIDO DA CAUSA OPERÁRIA,30.9.1997,RUI COSTA PIMENTA,29,esquerda
3,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,10.11.1981,CARLOS LUPI,12,esquerda
23,PL,PARTIDO LIBERAL,19.12.2006,VALDEMAR COSTA NETO,22,direita
30,PMB,PARTIDO DA MULHER BRASILEIRA,29.9.2015,SUÊD HAIDAR NOGUEIRA,35,direita
10,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,25.10.1990,ANTONIO CARLOS BOSCO MASSAROLLO,33,esquerda
20,PODE,PODEMOS,2.10.1997,RENATA HELLMEISTER DE ABREU,19,direita
14,PP,PROGRESSISTAS,16.11.1995,CLAUDIO CAJADO SAMPAIO (Presidente em exercício),11,direita
26,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,24.9.2013,EURIPEDES GOMES DE MACEDO JUNIOR ( 0600666-74.2022.6.00.0000 ),90,centro
17,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,18.2.1997,JULIO CEZAR FIDELIX CRUZ (PETIÇÃO CÍVEL 0600739-46.2022.6.00.0000),28,direita
6,PSB,PARTIDO SOCIALISTA BRASILEIRO,1°.7.1988,CARLOS ROBERTO SIQUEIRA DE BARROS,40,esquerda
9,PSC,PARTIDO SOCIAL CRISTÃO,29.3.1990,EVERALDO DIAS PEREIRA,20,direita
24,PSD,PARTIDO SOCIAL DEMOCRÁTICO,27.9.2011,GILBERTO KASSAB,55,direita
7,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24.8.1989,BRUNO CAVALCANTI DE ARAÚJO,45,centro
22,PSOL,PARTIDO SOCIALISMO E LIBERDADE,15.9.2005,JULIANO MEDEIROS,50,esquerda
15,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,19.12.1995,JOSÉ MARIA DE ALMEIDA,16,esquerda
4,PT,PARTIDO DOS TRABALHADORES,11.2.1982,GLEISI HELENA HOFFMANN,13,esquerda
2,PTB,PARTIDO TRABALHISTA BRASILEIRO,3.11.1981,"KASSYO SANTOS RAMOS, presidente em exercício (Processo SEI nº 2021.00.000010465-5).",14,direita
12,PV,PARTIDO VERDE,30.9.1993,JOSÉ LUIZ DE FRANÇA PENNA,43,esquerda
29,REDE,REDE SUSTENTABILIDADE,22.9.2015,HELOÍSA HELENA LIMA DE MORAES,18,esquerda
21,REPUBLICANOS,REPUBLICANOS,25.8.2005,MARCOS ANTONIO PEREIRA,10,direita
27,SOLIDARIEDADE,SOLIDARIEDADE,24.9.2013,PAULO PEREIRA DA SILVA,77,centro
32,UNIÃO,UNIÃO BRASIL,8.2.2022,LUCIANO CALDAS BIVAR,44,direita
31,UP,UNIDADE POPULAR,10.12.2019,LEONARDO PERICLES VIEIRA ROQUE,80,esquerda
